adapt_lr,meta_lr,k_adapt_steps,N_patient_group,query_set,suport_set,loss,elapsed_time_min
0.005,0.0005,1,10,10,5,0.44328656792640686,4.58
0.001,0.005,5,20,10,5,0.44372278451919556,4.45
0.02,0.0001,3,4,10,5,0.4437854588031769,4.7
0.005,0.001,5,10,10,5,0.4448101222515106,4.82
0.01,0.001,10,10,10,5,0.445281445980072,4.25
0.001,0.0005,1,10,10,5,0.4453282952308655,6.73
0.01,0.0001,10,4,10,5,0.44574686884880066,4.75
0.005,0.001,1,10,10,5,0.44596827030181885,4.79
0.001,0.001,1,10,10,5,0.44633471965789795,4.47
0.02,0.001,1,10,10,5,0.4467654228210449,5.26
0.01,0.001,1,10,10,5,0.446888267993927,4.6
0.005,0.0001,5,10,10,5,0.4469152092933655,4.43
0.001,0.0005,5,10,10,5,0.449454665184021,4.41
0.02,0.001,10,20,10,5,0.45004701614379883,4.52
0.02,0.005,10,10,10,5,0.4510388672351837,4.65
0.001,0.001,5,10,10,5,0.45115435123443604,5.04
0.01,0.001,10,20,10,5,0.45272189378738403,4.71
0.001,0.001,3,10,10,5,0.4534456729888916,4.39
0.001,0.001,10,20,10,5,0.4548270106315613,4.55
0.005,0.001,10,10,10,5,0.4550100862979889,4.52
0.01,0.0001,10,10,10,5,0.4550814628601074,4.64
0.001,0.0005,10,10,10,5,0.4560568630695343,4.81
0.005,0.001,10,20,10,5,0.4578973054885864,4.55
0.001,0.0001,5,10,10,5,0.4587526321411133,8.66
0.001,0.001,10,10,10,5,0.4592137634754181,4.79
0.005,0.0001,10,10,10,5,0.4601556360721588,4.71
0.01,0.0001,1,10,10,5,0.46032410860061646,4.26
0.02,0.0001,1,10,10,5,0.46039578318595886,4.6
0.005,0.0001,1,10,10,5,0.4619525671005249,4.82
0.001,0.0005,10,20,10,5,0.46327224373817444,4.78
0.001,0.0001,1,10,10,5,0.4633416533470154,5.47
0.001,0.001,1,20,10,5,0.46487370133399963,4.83
0.02,0.0001,10,10,10,5,0.46669918298721313,4.53
0.001,0.001,3,20,10,5,0.4671362638473511,4.77
0.005,0.001,1,20,10,5,0.4673239290714264,4.88
0.001,0.0005,3,20,10,5,0.4694533050060272,6.4
0.02,0.001,5,20,10,5,0.4694536328315735,4.92
0.001,0.0005,1,20,10,5,0.47081929445266724,6.29
0.02,0.0005,10,20,10,5,0.47085756063461304,5.92
0.005,0.0005,10,20,10,5,0.47110840678215027,4.5
0.02,0.001,3,20,10,5,0.4712755084037781,5.33
0.01,0.001,1,20,10,5,0.47167009115219116,4.35
0.01,0.0005,10,20,10,5,0.4718705415725708,4.51
0.005,0.0005,1,20,10,5,0.472670316696167,4.49
0.01,0.0005,1,20,10,5,0.4755189120769501,4.71
0.001,0.0001,10,10,10,5,0.4759855270385742,7.97
0.001,0.001,5,20,10,5,0.47606682777404785,4.73
0.01,0.001,3,20,10,5,0.47647932171821594,4.24
0.005,0.001,3,20,10,5,0.47650814056396484,4.59
0.001,0.0005,5,20,10,5,0.47720906138420105,4.77
0.02,0.001,1,20,10,5,0.4775851368904114,5.8
0.01,0.001,5,20,10,5,0.47773846983909607,4.63
0.005,0.0005,3,20,10,5,0.47860199213027954,4.5
0.02,0.0005,3,20,10,5,0.47947487235069275,4.55
0.02,0.0005,1,20,10,5,0.4805498719215393,4.6
0.005,0.001,5,20,10,5,0.4805648922920227,4.4
0.01,0.0005,3,20,10,5,0.4813607335090637,4.33
0.005,0.0005,5,20,10,5,0.48659631609916687,4.38
0.001,0.0001,3,20,10,5,0.49078959226608276,9.98
0.01,0.0005,5,20,10,5,0.4910556674003601,4.64
0.02,0.0005,5,20,10,5,0.49113842844963074,5.49
0.001,0.0001,10,20,10,5,0.49328315258026123,6.53
0.02,0.0001,5,20,10,5,0.4962020516395569,4.43
0.001,0.0001,5,20,10,5,0.4976486563682556,4.92
0.001,0.0001,1,20,10,5,0.4982585608959198,5.34
0.01,0.0001,10,20,10,5,0.4985335171222687,4.71
0.005,0.0001,10,20,10,5,0.4988848567008972,4.55
0.02,0.0001,3,20,10,5,0.4993501901626587,4.55
0.005,0.0001,3,20,10,5,0.4995424449443817,4.43
0.005,0.0001,1,20,10,5,0.5013898611068726,4.43
0.01,0.0001,5,20,10,5,0.5039211511611938,4.42
0.01,0.0001,3,20,10,5,0.5049759149551392,4.58
0.01,0.0001,1,20,10,5,0.5061271786689758,4.65
0.02,0.0001,10,20,10,5,0.5070744156837463,4.31
0.005,0.0001,5,20,10,5,0.5095665454864502,4.75
0.02,0.0001,1,20,10,5,0.5122267007827759,4.17
